use_case,species_id,botanical_name,common_name,candidate_status,candidate_reason,evidence_caveat,gap_count,score_readiness
pollinator_support,BCNPPD-0116,Olsynium douglasii,Satinflower,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0117,One-sided sedge,Carex unilateralis,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0118,Oval-leaved mitrewort,Pectiantia ovalis,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0119,Pacific sanicle,Sanicula crassicaulis,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0120,Pacific water-parsley,Oenanthe sarmentosa,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0121,Pacific woodrush,Luzula comosa var. comosa,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0122,Perideridia gairdneri,Yampah,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0037,Physocarpus capitatus,Pacific Ninebark,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0123,Plagiobothrys scouleri,Scouler's Popcornflower,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
boulevard,BCNPPD-0014,Plectritis congesta,Sea Blush,candidate,Candidate because urban toughness is at least 4 and sun exposure includes sun.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
rain_garden,BCNPPD-0014,Plectritis congesta,Sea Blush,candidate,"Candidate because soil moisture text includes moist, wet, or seasonal wetness.",Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
dry_sun,BCNPPD-0014,Plectritis congesta,Sea Blush,candidate,Candidate because sun exposure includes sun and soil moisture includes dry.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0014,Plectritis congesta,Sea Blush,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0124,Poa secunda,Sandberg's Bluegrass,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0125,Poverty oatgrass,Danthonia spicata,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0126,Prairie woodrush,Luzula subsessilis,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0127,Prunella vulgaris ssp lanceolata,Self-heal,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
boulevard,BCNPPD-0003,Prunella vulgaris var. lanceolata,Lanceleaf Self-heal,candidate,Candidate because urban toughness is at least 4 and sun exposure includes sun.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
shade,BCNPPD-0003,Prunella vulgaris var. lanceolata,Lanceleaf Self-heal,candidate,Candidate because sun exposure includes shade.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0003,Prunella vulgaris var. lanceolata,Lanceleaf Self-heal,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0052,Pteridium aquilinum,bracken fern,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0128,Red columbine,Aquilegia formosa,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0129,Red maids,Calandrinia menziesii,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0038,Ribes sanguineum,Red-flowering Currant,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0039,Rosa nutkana,Nootka Rose,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0040,Rubus parviflorus,Thimbleberry,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0041,Rubus spectabilis,Salmonberry,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0042,Salix discolor,Pussy Willow,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0043,Sanicula crassicaulis,Pacific Sanicle,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0130,Sea blush,Plectritis congesta,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0131,Sea thrift,Armeria maritima,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0132,Seacoast angelica,Angelica lucida,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0133,Seaside plantain,Plantago maritima,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0134,Shortspur sea blush,Plectritis brachystemon,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0135,Sidalcea hendersonii,Henderson's Checkermallow,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0051,Sisyrinchium idahoense,Idaho blue-eyed-grass,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0136,Slender tarweed,Madia gracilis,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0137,Slender-foot sedge,Carex leptopoda,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0138,Slimleaf onion,Allium amplectens,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0139,Slough sedge,Carex obnupta,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0140,Small-flowered alumroot,Heuchera micrantha,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0141,Small-flowered blue-eyed mary,Collinsia parviflora,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0142,Small-flowered bulrush,Scirpus microcarpus,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0143,Small-flowered fiddleneck,Amsinckia menziesii,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0144,Small-flowered lupine,Lupinus polycarpus,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0145,Small-flowered nemophila,Nemophila parviflora,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0146,Soft-stemmed bulrush,Schoenoplectus tabernaemontani,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0044,Solidago lepida,Canada Goldenrod,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0147,Spike bentgrass,Agrostis exarata,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0148,Spring gold,Lomatium utriculatum,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0149,Stachys chamissonis var cooleyae,Hedge-nettle,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0150,Sticky cinquefoil,Drymocallis glandulosa,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0151,Stinging nettle,Urtica dioica ssp. gracilis,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0152,Straight-beaked buttercup,Ranunculus orthorhynchus,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0045,Symphoricarpos albus,Snowberry,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0046,Symphyotrichum subspicatum,Douglas' aster,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
shade,BCNPPD-0006,Tellima grandiflora,Fringecup,candidate,Candidate because sun exposure includes shade.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0006,Tellima grandiflora,Fringecup,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0153,Thick-headed sedge,Carex pachystachya,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
rain_garden,BCNPPD-0007,Tiarella trifoliata,Foamflower,candidate,"Candidate because soil moisture text includes moist, wet, or seasonal wetness.",Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
shade,BCNPPD-0007,Tiarella trifoliata,Foamflower,candidate,Candidate because sun exposure includes shade.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0007,Tiarella trifoliata,Foamflower,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0154,Tomcat clover,Trifolium willdenovii,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0155,Tower mustard,Turritis glabra,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0156,Triteleia hyacinthina,Fool's Onion,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0157,Tufted hairgrass,Deschampsia cespitosa,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0047,Vaccinium ovalifolium,Oval-leaved Blueberry,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0048,Vaccinium ovatum,Evergreen Huckleberry,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0158,Vari-leaved collomia,Collomia heterophylla,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0049,Vicia nigricans,black vetch,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
boulevard,BCNPPD-0008,Viola adunca,Early Blue Violet,candidate,Candidate because urban toughness is at least 4 and sun exposure includes sun.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
dry_sun,BCNPPD-0008,Viola adunca,Early Blue Violet,candidate,Candidate because sun exposure includes sun and soil moisture includes dry.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
shade,BCNPPD-0008,Viola adunca,Early Blue Violet,candidate,Candidate because sun exposure includes shade.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0008,Viola adunca,Early Blue Violet,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
rain_garden,BCNPPD-0009,Viola glabella,Stream Violet,candidate,"Candidate because soil moisture text includes moist, wet, or seasonal wetness.",Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
shade,BCNPPD-0009,Viola glabella,Stream Violet,candidate,Candidate because sun exposure includes shade.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0009,Viola glabella,Stream Violet,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0159,Western buttercup,Ranunculus occidentalis,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0160,Western fescue,Festuca occidentalis,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0161,Western rush,Juncus occidentalis,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0162,Western yellow cress,Rorippa curvisiliqua,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0163,White fawn lily,Erythronium oregonum,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0164,Woolly sunflower,Eriophyllum lanatum,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0165,Yellow monkey-flower,Erythranthe guttata,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0166,Yellow-eyed grass,Sisyrinchium californicum,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
